glyph,region,category,bbox,info
tJhau,7,postbase,(932,-153,1022,19),
tJh,0,base,(73,-15,606,525),largest
tJh,1,base,(540,-15,990,525),
tJh,2,base,(929,-15,1352,525),
tJh,3,above,(79,631,613,818),
tJh,4,above,(95,482,466,662),
tJh,5,postbase,(932,-153,1022,19),
tNya,0,base,(112,-61,686,525),largest
tNya,1,base,(60,309,372,525),
tNya,2,above,(780,335,856,525),
tNya,3,base,(654,311,964,354),
tNyaa,0,base,(112,-61,686,525),largest
tNyaa,1,base,(716,313,1311,548),
tNyaa,2,base,(60,309,372,525),
tNyaa,3,base,(654,311,964,354),
tNyaa,4,base,(783,335,853,525),
tNyi,0,base,(112,-61,686,525),largest
tNyi,1,above,(675,487,1050,794),
tNyi,2,base,(60,309,372,525),
tNyi,3,above,(782,335,853,525),
tNyi,4,base,(654,311,964,354),
tNyii,0,base,(112,-61,686,525),largest
tNyii,1,above,(675,487,1050,792),
tNyii,2,base,(60,309,372,525),
tNyii,3,above,(770,753,977,966),
tNyii,4,above,(782,335,853,525),
tNyii,5,base,(654,311,964,354),
tNyu,0,base,(654,-15,1399,525),largest
tNyu,1,base,(112,-61,686,525),
tNyu,2,base,(60,309,372,525),
tNyu,3,base,(780,335,856,525),
tNyuu,0,base,(665,-15,1399,492),largest
tNyuu,1,base,(112,-61,686,525),
tNyuu,2,base,(1115,287,1732,520),
tNyuu,3,base,(60,309,372,525),
tNyuu,4,base,(780,335,856,525),
tNye,0,base,(112,-61,686,525),largest
tNye,1,above,(381,482,976,693),
tNye,2,base,(60,309,372,525),
tNye,3,above,(782,335,854,525),
tNye,4,base,(654,311,964,354),
tNyee,0,base,(112,-61,686,525),largest
tNyee,1,above,(381,482,976,693),
tNyee,2,base,(60,309,372,525),
tNyee,3,above,(766,650,972,881),
tNyee,4,above,(782,335,854,525),
tNyee,5,base,(654,311,964,354),
tNyai,0,base,(112,-61,686,525),largest
tNyai,1,below,(33,-323,688,-88),
tNyai,2,above,(381,482,976,693),
tNyai,3,base,(60,309,372,525),
tNyai,4,above,(782,335,854,525),
tNyai,5,base,(654,311,964,354),
tNyo,0,base,(112,-61,686,525),largest
tNyo,1,above,(926,490,1286,729),
tNyo,2,above,(659,485,954,729),
tNyo,3,base,(60,309,372,525),
tNyo,4,above,(782,335,855,520),
tNyo,5,base,(654,311,964,354),
tNyoo,0,base,(112,-61,686,525),largest
tNyoo,1,above,(926,490,1286,729),
tNyoo,2,above,(659,485,954,729),
tNyoo,3,base,(60,309,372,525),
tNyoo,4,disconnected,(1082,706,1283,904),
tNyoo,5,above,(782,335,855,520),
tNyoo,6,base,(654,311,964,354),
tNyau,0,base,(112,-61,686,525),largest
tNyau,1,above,(709,458,1313,693),
tNyau,2,base,(60,309,372,525),
tNyau,3,above,(716,482,986,665),
tNyau,4,base,(654,311,964,354),
tNyau,5,above,(783,335,854,503),
tNy,0,base,(112,-61,686,525),largest
tNy,1,above,(665,630,1149,818),
tNy,2,base,(60,309,372,525),
tNy,3,above,(681,482,1012,662),
tNy,4,base,(654,311,964,354),
tNy,5,above,(783,335,854,503),
tTta,0,base,(73,-15,460,525),largest
tTta,1,base,(438,-15,792,525),
tTta,2,above,(260,507,336,695),
tTtaa,0,base,(73,-15,460,525),largest
tTtaa,1,base,(438,-15,790,498),
tTtaa,2,base,(509,287,1118,520),
tTtaa,3,above,(260,507,336,695),
tTti,0,base,(73,-15,460,525),largest
tTti,1,base,(438,-15,792,487),
tTti,2,above,(406,464,791,828),
tTti,3,above,(260,507,336,695),
tTtii,0,base,(73,-15,460,525),largest
tTtii,1,base,(438,-15,792,487),
tTtii,2,above,(406,464,791,828),
tTtii,3,above,(537,803,744,1004),
tTtii,4,above,(260,507,336,695),
tTtu,0,base,(755,-15,1160,525),largest
tTtu,1,base,(73,-15,460,525),
tTtu,2,base,(438,-15,791,525),
tTtu,3,above,(260,507,336,695),
tTtuu,0,base,(73,-15,460,525),largest
tTtuu,1,base,(755,-15,1157,498),
tTtuu,2,base,(438,-15,791,525),
tTtuu,3,base,(873,287,1490,520),
tTtuu,4,above,(260,507,336,695),
tTte,0,base,(123,-15,510,525),largest
tTte,1,base,(488,-15,842,525),
tTte,2,above,(18,482,490,693),
